nr,conf,sweat,conf_sweat,broken,grim,broken_grim,kisscl,kissm,kisscl_kissm,imp,fear,imp_fear,kiss,twoh,kiss_twoh,sungl,smile,sungl_smile,joycat,disa,joycat_disa,fluency,culturalbg,name_cult,gender,age
P86,3,3,4,3,3,2,3,4,2,3,3,2,2,4,2,3,3,3,2,2,4,5,KR,,F,50s
P87,3,3,3,3,3,3,3,3,4,3,2,3,4,4,3,3,3,3,2,4,4,3,Asia,,F,30s
P88,3,1,3,3,2,1,4,4,3,3,3,3,3,3,3,3,2,2,1,1,3,5,KR,,F,20s
P89,3,2,2,2,4,4,4,4,4,1,2,5,3,5,1,3,4,1,2,2,2,4,KR,,M,50s
P90,1,2,2,3,2,3,4,4,4,3,4,4,4,4,3,4,4,3,4,3,4,3,KR,,M,50s
P91,4,3,4,3,4,2,2,4,3,1,3,4,3,5,4,4,2,4,4,3,4,4,KR,,M,30s
P92,2,2,3,1,2,2,5,5,5,1,3,3,2,2,3,2,2,3,3,3,2,3,KR,,M,20s
P93,3,2,2,1,1,5,5,4,5,2,2,5,4,5,3,4,3,1,4,2,2,5,KR,,M,40s
P94,2,2,3,1,3,4,4,3,5,1,2,5,4,3,4,4,2,3,2,1,2,5,KR,,F,20s
P95,2,1,2,3,2,2,4,4,3,1,2,2,3,5,1,3,3,3,2,3,4,5,KR,,M,20s
P96,3,2,3,3,2,3,4,4,3,2,2,3,4,4,3,3,3,3,3,2,3,4,KR,,M,20s
P97,2,3,2,2,3,4,4,4,3,2,2,4,4,4,4,3,2,3,3,2,3,5,KR,,F,20s
P98,3,2,2,3,1,1,4,3,3,2,2,3,3,3,3,4,2,4,3,2,1,5,KR,,F,20s
P99,5,5,3,1,1,3,5,5,3,,1,1,3,5,3,3,4,3,3,3,3,4,KR,,F,30s
P100,2,3,4,2,4,3,4,4,3,3,2,,3,3,3,5,2,2,3,3,3,3,Asia,Taiwan,F,20s
P101,2,2,2,2,2,5,4,4,4,4,2,4,4,5,1,4,5,2,2,2,5,4,KR,,M,20s
P102,3,1,2,3,1,2,5,4,4,2,2,2,2,3,4,4,2,2,2,1,1,4,KR,,F,30s
P103,1,2,4,3,3,3,4,4,3,3,2,2,4,5,2,4,4,2,4,2,2,4,KR,,F,50s
P104,5,1,2,1,3,3,5,5,4,,1,2,3,3,3,4,4,3,4,4,3,5,KR,,F,20s
P105,3,4,3,4,3,4,4,3,3,3,3,3,3,2,4,3,3,3,3,3,3,3,KR,,F,30s
P106,4,4,4,3,3,5,5,1,4,4,2,2,5,3,3,4,2,4,4,5,5,4,KR,,F,60a
